created_date,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disabil,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,clean
2016-02-12 21:30:11.686130+00,0,0,0,0,0,0.7,0.1,0.7,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,this is pretty much exactly how i feel damn
2016-02-23 22:20:02.065242+00,0,0,0,0,0,0.728571429,0.014285714,0.242857143,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,this kind of crap will end when trump is president
2016-03-09 21:21:51.801170+00,0,0,0,1,0,0.610169492,0,0.016949153,0.016949153,0,0.593220339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,amy miller is a very terrible person
2016-03-12 01:50:08.580449+00,0,0,0,0,0,0.93877551,0,0.163265306,0,0,0.918367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,you sir are an idiot
2016-03-14 15:55:37.857710+00,0,0,0,0,0,0.8,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,10,5,indeed liberal dementia is a social disease a mental illness
2016-03-23 16:44:22.410646+00,0,0,0,0,0,0.583333333,0.013888889,0.013888889,0.013888889,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,you are a terrible person with way too much free time
2016-03-26 22:36:40.744588+00,0,0,0,0,0,0.7,0.1,0.1,0.1,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,if they only had a brain
2016-03-30 00:22:49.426493+00,0,0,0,1,0,0.9,0,0.9,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,darn federal overreach
2016-03-30 16:59:05.666246+00,0,0,0,0,0,0.893939394,0.03030303,0.712121212,0.803030303,0,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,mil up your ass
2016-03-31 14:31:33.356825+00,0,0,0,0,0,1,0.2,0.1,0,0,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,why not just shoot him and put him in the freezer
2016-04-03 14:33:59.629301+00,0,0,0,0,0,0.721311475,0,0.032786885,0.016393443,0.016393443,0.721311475,0.016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,another loser like young
2016-04-05 12:06:26.838388+00,0,0,0,5,0,0.897959184,0.102040816,0.020408163,0,0,0,0.897959184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,if they attack people they should be shot
2016-04-08 07:58:36.550501+00,0,0,0,16,0,0.742424242,0,0.075757576,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66,the new comment review is pretty dumb
2016-04-13 03:03:37.641150+00,0,0,0,7,0,0.8875,0.025,0.775,0,0,0.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,show a picture of this piece of crap
2016-04-13 03:53:01.124317+00,0,0,0,0,0,0.909090909,0,0.090909091,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,you are obviously a fool
2016-04-13 07:11:16.875877+00,0,0,0,0,0,0.537037037,0.018518519,0.074074074,0,0,0.537037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,must gave been meller time drunk bastard
2016-04-13 16:43:01.493339+00,0,0,0,0,0,0.822580645,0.048387097,0.306451613,0,0.016129032,0.790322581,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,prove that jackass
2016-04-13 22:59:52.778485+00,0,0,0,0,0,0.710526316,0.052631579,0.026315789,0,0.684210526,0.592105263,0.013157895,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.166666667,6,76,this would not be a story if she was ugly or black especially if she was both
2016-04-17 09:42:24.371918+00,0,0,0,1,0,0.785714286,0.028571429,0.314285714,0.2,0.042857143,0.671428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,this dude is a bad ass
2016-04-17 21:08:02.531480+00,0,0,0,0,0,0.8,0.1,0.7,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,damn these people dont need this on top of what they already deal with
2016-04-19 06:20:33.413274+00,0,0,0,0,0,0.859375,0.203125,0.640625,0.640625,0.015625,0.671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,go suck an egg dog
2016-04-19 07:38:18.461154+00,0,0,0,1,0,0.703125,0.109375,0,0,0.03125,0.09375,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,i think ill go home and kill my family said no pot smoker ever
2016-04-19 19:10:00.397690+00,0,0,0,3,0,0.8,0,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,i think its nothing but an ego bill that is dangerous and unnecessary kill the bill in fact shoot it
2016-04-20 04:10:42.926381+00,0,0,0,0,0,0.833333333,0,0.833333333,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,damn i miss this guy
2016-04-21 15:42:37.234522+00,0,0,0,1,0,0.6,0,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,all the revenue should at least cover for that damned art tax
